Timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
1705058649.2108126,-21.0,-45.0,-42.0,6.0,-15.0,-21.0,-41.0,81.0
1705058649.2169147,-6.0,-105.0,-49.0,-14.0,-23.0,-14.0,-38.0,68.0
1705058649.2230167,1.0,-106.0,-37.0,-33.0,-25.0,-12.0,-31.0,35.0
1705058649.2291186,3.0,-54.0,-12.0,-43.0,-23.0,-26.0,-25.0,5.0
1705058649.2352207,-4.0,-17.0,0.0,-40.0,-18.0,-60.0,-32.0,-6.0
1705058649.2413228,-18.0,14.0,-9.0,-36.0,-9.0,-98.0,-27.0,6.0
1705058649.2474248,-19.0,36.0,-10.0,-31.0,-5.0,-97.0,-29.0,38.0
1705058649.2535267,-35.0,36.0,9.0,-19.0,-12.0,-96.0,-20.0,86.0
1705058649.2596288,-38.0,14.0,16.0,5.0,-17.0,-91.0,1.0,107.0
1705058649.2657309,-35.0,-13.0,18.0,25.0,-38.0,-89.0,3.0,113.0
1705058649.271833,-27.0,-26.0,-1.0,37.0,-53.0,-87.0,-9.0,102.0
1705058649.2779348,-26.0,-54.0,-21.0,48.0,-61.0,-66.0,-29.0,80.0
1705058649.2840369,-17.0,-72.0,-16.0,45.0,-69.0,-38.0,-43.0,50.0
1705058649.290139,-7.0,-89.0,33.0,27.0,-88.0,-20.0,-50.0,22.0
1705058649.296241,0.0,-100.0,38.0,10.0,-98.0,-2.0,-50.0,10.0
1705058649.302343,23.0,-96.0,37.0,-13.0,-99.0,-6.0,-43.0,1.0
1705058649.308445,21.0,-78.0,29.0,-25.0,-92.0,2.0,-32.0,7.0
1705058649.314547,13.0,-46.0,20.0,-30.0,-76.0,5.0,-22.0,7.0
1705058649.3206491,-13.0,-12.0,6.0,-25.0,-64.0,-4.0,-1.0,9.0
1705058649.326751,-17.0,18.0,-7.0,-15.0,-54.0,-31.0,11.0,12.0
1705058649.332853,7.0,39.0,-19.0,-16.0,-55.0,-58.0,0.0,12.0
1705058649.3389552,30.0,54.0,2.0,-10.0,-55.0,-71.0,-22.0,40.0
1705058649.3450572,42.0,46.0,7.0,-14.0,-52.0,-81.0,-41.0,46.0
1705058649.351159,39.0,37.0,22.0,-19.0,-51.0,-87.0,-43.0,45.0
1705058649.3572612,27.0,34.0,41.0,-19.0,-44.0,-97.0,-35.0,15.0
1705058649.3633633,26.0,9.0,22.0,-9.0,-31.0,-109.0,-14.0,-9.0
1705058649.3694654,38.0,-12.0,10.0,15.0,-18.0,-111.0,2.0,-47.0
1705058649.3755672,53.0,-32.0,14.0,36.0,-16.0,-97.0,7.0,-64.0
1705058649.3816693,44.0,-48.0,17.0,62.0,-12.0,-69.0,-1.0,-52.0
1705058649.3877714,30.0,-38.0,61.0,60.0,-9.0,-54.0,-12.0,-29.0
1705058649.3938735,22.0,-34.0,71.0,41.0,-5.0,-34.0,-31.0,-6.0
1705058649.3999753,17.0,-28.0,62.0,11.0,-9.0,-19.0,-49.0,24.0
